Iteration	Posterior	Likelihood	Prior	sigma
39000	4493.906	4698.692	-204.7858	0.06318141
39100	4437.973	4727.934	-289.9607	0.06889879
39200	4490.15	4701.532	-211.3827	0.05989735
39300	4374.515	4701.324	-326.8095	0.06142329
39400	4517.807	4698.458	-180.6503	0.05858728
39500	4441.144	4696.98	-255.8362	0.05951996
39600	4452.618	4713.773	-261.1549	0.06259669
39700	4473.998	4732.637	-258.6391	0.06460292
39800	4464.697	4713.268	-248.5713	0.06234386
39900	4403.682	4701.805	-298.123	0.06592651
40000	4444.835	4722.618	-277.7826	0.06056715
40100	4413.877	4714.754	-300.877	0.06159974
40200	4366.798	4746.474	-379.6758	0.06222532
40300	4554.134	4723.036	-168.9017	0.06191275
40400	4757.144	4740.127	17.01645	0.05993027
40500	4881.72	4714.084	167.636	0.06027343
40600	4841.434	4705.562	135.8722	0.05938741
40700	4773.138	4711.727	61.41164	0.06135331
40800	4879.213	4701.07	178.1426	0.06259525
40900	4877.116	4718.594	158.5219	0.06440543
41000	4983.486	4721.521	261.9658	0.06490022
41100	4972.017	4711.497	260.5208	0.05949104
41200	4763.953	4726.666	37.28656	0.06410031
41300	4759.687	4720.3	39.38746	0.06195915
41400	4578.571	4736.898	-158.3268	0.06152378
41500	4780.682	4722.921	57.7614	0.06213846
41600	4827.389	4716.889	110.4994	0.06268128
41700	4902.461	4715.963	186.4978	0.06322036
41800	4784.454	4725.108	59.34561	0.06154138
41900	4967.452	4710.428	257.0238	0.06357193
42000	4969.094	4706.165	262.9294	0.06192639
42100	4792.066	4681.313	110.7529	0.06146082
42200	4766.655	4688.878	77.77709	0.05845289
42300	4944.232	4692.62	251.6114	0.05847254
42400	4938.128	4693.202	244.9267	0.05957669
42500	4886.809	4714.238	172.5718	0.0602211
42600	4755.58	4704.576	51.00344	0.06286992
42700	4797.977	4689.651	108.3263	0.06096476
42800	4729.657	4696.934	32.72386	0.06358861
42900	4681.425	4709.656	-28.23102	0.05953162
43000	4690.058	4708.087	-18.02903	0.06249649
43100	4657.743	4696.433	-38.69051	0.05748177
43200	4462.599	4695.283	-232.6833	0.06013378
43300	4443.443	4698.77	-255.3279	0.05923506
43400	4384.638	4703.929	-319.2911	0.06595469
43500	4465.015	4725.57	-260.5545	0.06608176
43600	4536.028	4702.862	-166.8337	0.06129425
43700	4785.005	4715.584	69.42031	0.05958654
43800	4901.191	4723.651	177.5405	0.06041995
43900	4714.296	4714.488	-0.191701	0.05751332
44000	4559.915	4706.724	-146.8084	0.05766592
44100	4558.096	4714.187	-156.0916	0.06090148
44200	4576.474	4734.893	-158.4191	0.06199353
44300	4579.352	4736.038	-156.6863	0.0601246
44400	4684.098	4723.526	-39.42796	0.06208624
44500	4666.851	4705.754	-38.90337	0.06686387
44600	4694.478	4714.344	-19.86521	0.06156775
44700	4897.377	4711.932	185.4454	0.06180141
44800	4848.099	4722.217	125.8812	0.06500354
44900	4864.551	4719.858	144.6928	0.0607222
45000	4688.243	4730.275	-42.03169	0.06127773
45100	4675.363	4717.065	-41.70273	0.06106178
45200	4769.095	4699.936	69.15889	0.05566548
45300	4743.576	4688.211	55.365	0.05822377
45400	4630.246	4699.553	-69.30747	0.05712483
45500	4439.03	4717.827	-278.7963	0.05957064
45600	4451.638	4709.068	-257.4299	0.05791357
45700	4446.527	4716.705	-270.1782	0.06238928
45800	4474.238	4721.265	-247.0271	0.06133492
45900	4416.228	4700.133	-283.9052	0.06212432
46000	4338.98	4717.376	-378.3962	0.05857721
46100	4389.722	4726.331	-336.6087	0.05787672
46200	4348.439	4718.395	-369.9556	0.05844216
46300	4445.647	4708.699	-263.0521	0.05816693
46400	4344.533	4715.72	-371.1867	0.06266438
46500	4334.979	4727.699	-392.7206	0.06057086
46600	4411.73	4740.499	-328.7686	0.05875726
46700	4305.13	4737.281	-432.1507	0.06111239
46800	4260.316	4725.018	-464.7016	0.06137074
46900	4305.683	4726.274	-420.5914	0.0619688
47000	4367.01	4714.934	-347.9242	0.05979467
47100	4317.538	4699.761	-382.223	0.05980871
47200	4277.292	4696.587	-419.2952	0.05858724
47300	4359.612	4727.545	-367.933	0.05860639
47400	4326.62	4727.389	-400.7692	0.06015756
47500	4306.436	4738.1	-431.6638	0.05979699
47600	4347.907	4716.513	-368.6058	0.06111287
47700	4361.512	4724.923	-363.4112	0.0624453
47800	4354.274	4714.731	-360.4573	0.06106726
47900	4417.657	4714.814	-297.1568	0.06160232
48000	4403.563	4712.199	-308.636	0.06117318
48100	4356.743	4719.149	-362.4065	0.05957722
48200	4344.722	4721.968	-377.246	0.05940605
48300	4334.024	4715.81	-381.7853	0.05920516
48400	4337.511	4712.083	-374.5726	0.06193398
48500	4278.919	4730.209	-451.2897	0.058287
48600	4323.326	4721.464	-398.1385	0.06025231
48700	4349.105	4712.438	-363.333	0.05827523
48800	4330.37	4727.432	-397.0613	0.06059053
48900	4222.127	4724.918	-502.7906	0.06353002
49000	4154.062	4716.551	-562.4883	0.05889972
49100	4136.654	4724.122	-587.4682	0.0584279
49200	4074.956	4727.764	-652.8079	0.05858831
49300	4074.137	4734.051	-659.9136	0.06159653
49400	4068.519	4735.011	-666.4923	0.06092139
49500	4114.22	4741.202	-626.9821	0.06239261
49600	4024.479	4713.75	-689.2718	0.0622727
49700	4134.309	4716.656	-582.3474	0.0611012
49800	4194.136	4724.37	-530.2341	0.06181151
49900	4248.929	4732.747	-483.818	0.06320298
50000	4257.991	4723.519	-465.528	0.06133563
